sock_reading_1,sock_reading_2,sock_reading_3,sock_reading_4,sock_reading_5,value1,value2,value3,value4,value5,value6,value7,timestamp_ms
0.4369389464111765,0.5073502481938187,0.7281659600417789,0.7132626768192141,0.6658502026471569,1.738122051539653,-1.0872502563242168,-0.7276475529363655,1.702394425048539,0.6637074765215005,-0.7155551515132258,2.202763567017318,1744688275210
0.3482992855101992,0.4131436187580271,0.6344340396952695,0.6276792114187542,0.5939552552708344,1.5294524219362629,-1.0554221418135787,-0.8320262702053478,1.338807248368553,0.38090263584118406,-0.7123845163032976,1.7258822874911597,1744688275230
0.24114411204454908,0.2837120434140602,0.5023467817106068,0.5083528295764808,0.4875527499044492,1.2482428132215841,-1.0186542784721213,-0.8713687661180856,0.9052038443358432,0.10870795000531039,-0.7169832845122011,1.1809908275762542,1744688275250
0.12671758597115781,0.1361983804288596,0.3486259962592041,0.36684317539006184,0.35781428453270686,0.9117985821482849,-0.979698957811272,-0.8682032781402144,0.4491916861349093,-0.13710922260368916,-0.7251995206719338,0.6300535947248748,1744688275270
0.020481643579891025,-0.0035852948413602113,0.1992374781825753,0.22321685062383373,0.22432253661163468,0.5495258761219315,-0.941574140325695,-0.8451314957200228,0.02504370383840616,-0.3439247610676164,-0.7331677642135489,0.1367114509854251,1744688275290
-0.06009328268071677,-0.10771148520007251,0.08228789498277087,0.10218970044053488,0.1105409807302464,0.1954729440786386,-0.9071378509115746,-0.8197162700452981,-0.32022036380794744,-0.5049058601884375,-0.7384531685647651,-0.24997637152437177,1744688275310
-0.09954033095847863,-0.1543271768925168,0.01951966991231271,0.02667831108537756,0.03752026569289025,-0.12093481420398414,-0.8785003178522494,-0.802131330146945,-0.5591953075756035,-0.6204708503249206,-0.7403038699306325,-0.5072441637493105,1744688275330
-0.08896041521654087,-0.13443504527536826,0.01971855855183698,0.010824721656676462,0.017848428516157634,-0.3816367696343253,-0.8567447430701394,-0.7954923259007254,-0.6895974829656114,-0.6976788994159233,-0.739286311421161,-0.6412563032399181,1744688275350
-0.029000121033350687,-0.05440944152745888,0.0766639854921565,0.0553198531409269,0.051922984876469826,-0.5815500997409838,-0.8421300472514015,-0.7979547260905234,-0.7309873214540151,-0.747642645648482,-0.7366579022349419,-0.6803658233187104,1744688275370
0.07042039732131208,0.06688930143353918,0.17232548901613895,0.14718744110063245,0.1279147640692394,-0.7256166360891683,-0.8345699148319358,-0.8054008835668534,-0.715149168853432,-0.7820608876762496,-0.7337705341036036,-0.6628849894356593,1744688275390
0.19362140727424246,0.2050411848164241,0.2837319016281685,0.26427320592244646,0.22551138585437344,-0.8239395315757672,-0.8340039874796815,-0.8137341978146267,-0.6749014812739276,-0.8102557841924292,-0.731667657450266,-0.6248155537972006,1744688275410
0.32420883345371887,0.3378812491440374,0.3904745184286855,0.3825367888258267,0.32213066439616905,-0.8876273990054733,-0.8403839889820087,-0.8202359705545186,-0.6355599881081032,-0.8376202528917973,-0.7309059624700663,-0.5916469667168605,1744688275430
0.44932450515889233,0.45100909577122883,0.47986897144367396,0.4830715865695861,0.39937383177351315,-0.926544166805942,-0.8532709765647093,-0.8239045742905619,-0.6110828457303519,-0.865614073751226,-0.731546386092095,-0.5756583240873535,1744688275450
0.5615199903557997,0.5393532936174704,0.548237128110893,0.5562190997528963,0.44752066910638866,-0.9486908590133594,-0.8712946131944683,-0.8250380505981842,-0.604667882858039,-0.8928638876842554,-0.7332337098403732,-0.5778033366209562,1744688275470
0.6581737603782711,0.6052160728681956,0.5987026115524747,0.6018119476470377,0.466813679955518,-0.9602864092910662,-0.8918252680295602,-0.8244796573119249,-0.612168454774679,-0.916711464207762,-0.7353079903691934,-0.5920532885375275,1744688275490
0.739612684639838,0.6546176377135232,0.6372878416567023,0.6263374213270243,0.4655492387781806,-0.9658152707834218,-0.9111258830209613,-0.8229335381329211,-0.6263427737500499,-0.9346357629325465,-0.7369364872948877,-0.6100491392266689,1744688275510
0.8073349912050412,0.6939061961608819,0.6693692472011978,0.6387548564562051,0.45600136835984156,-0.9678586024902627,-0.9250582304946443,-0.8206273997147012,-0.6403816633011713,-0.945174729497955,-0.7372898007725588,-0.6246256390372691,1744688275530
0.8630176442061969,0.7277336348234308,0.6977858064916529,0.6467193223774564,0.44972039852229306,-0.9669241352074842,-0.9302261551813057,-0.8174135471811188,-0.6499344678445668,-0.9482024089718828,-0.7357866906172874,-0.6316742574750984,1744688275550
0.9081268780277988,0.7584003820763511,0.7227230171727886,0.6544059030336064,0.4537588053812611,-0.961574939647095,-0.925293766594313,-0.8132133011380412,-0.653592620653573,-0.9446593295555342,-0.7323911812086951,-0.6305168835911396,1744688275570
0.943742070149174,0.7860270968318677,0.7426691754312167,0.6623236611142319,0.4689512574565176,-0.9490146888429836,-0.912088055959109,-0.8085643976956958,-0.6522733995287435,-0.9360231787508672,-0.7278763928251968,-0.6233037565252308,1744688275590
0.9706135694295763,0.8091786965244301,0.7556467253025697,0.6687213233470428,0.490658557613272,-0.9260619762437761,-0.8959727319343777,-0.804958755963939,-0.6481147179326209,-0.9238333840511906,-0.7239042513116408,-0.6139522496005324,1744688275610
0.9897195757622128,0.8259072045682401,0.7603057563802189,0.6716771995944,0.511526538278706,-0.8902687830748197,-0.88495779611786,-0.8046845690617853,-0.6434072846664057,-0.9094283480534482,-0.7227510323104287,-0.6069498823779862,1744688275630
1.0032113753400764,0.8351433722665252,0.7568011210044359,0.6709025587601659,0.5250613639066756,-0.8408971790533183,-0.8872288008349156,-0.8100262461796182,-0.6398725953975481,-0.8938359455809045,-0.7265722737607895,-0.6061321267484714,1744688275650
1.0150844140240263,0.8380057168430902,0.747397386459336,0.6686070559175856,0.528568419873828,-0.7795671772528626,-0.9072981612547684,-0.8219178632657093,-0.6383634371380172,-0.8776411032775354,-0.7362583662479124,-0.6134516151344668,1744688275670
1.0308143017572735,0.8383378498267121,0.7365707892756176,0.6691948998217087,0.5243875366388686,-0.7105323014890452,-0.9416993560479454,-0.8384391515099068,-0.6388996585221948,-0.8607289018563604,-0.7501524944098986,-0.6278306045422345,1744688275690
1.055609158669949,0.8418815729229273,0.7302518813843157,0.6778397928490092,0.51905594172702,-0.6406015496382668,-0.9758155340519499,-0.8537877874075642,-0.6408867207336866,-0.8420086598828587,-0.7631042010461137,-0.644378989080728,1744688275710
1.0915414910864576,0.8539065549936369,0.733956916012487,0.6981555853142419,0.5206456130025416,-0.5786568989448182,-0.9837096277666187,-0.8584236033908701,-0.6433844604959609,-0.8193879247635508,-0.7663979722584543,-0.6544276284002528,1744688275730
1.134427077078765,0.875742386728894,0.7499583569883888,0.7294330774498045,0.5349874004916817,-0.534607833751674,-0.9323500565452135,-0.8408360003630904,-0.6453584270145999,-0.7902321421338917,-0.7489172703340464,-0.6468041924755766,1744688275750
1.1718103907903206,0.9014008268613936,0.7742944305956163,0.7643230498183748,0.5619304637762104,-0.5176648433410133,-0.7902268382907555,-0.7907980520422607,-0.6459098692500662,-0.7523000735676669,-0.6994475769766076,-0.6104531860093759,1744688275770
1.1835770254449287,0.9160854367670956,0.795066519628122,0.7882144674178732,0.5931405649386566,-0.5341030962724016,-0.5382918019687578,-0.7031775007359459,-0.6445078863494692,-0.7048042700186069,-0.6094157988900841,-0.537910322195951,1744688275790
1.1461892698486107,0.898323559096665,0.7936173802146025,0.7814762141606162,0.6128604618704342,-0.5850862660487137,-0.179325527202396,-0.5807402711800603,-0.6412253723203354,-0.6490040331591435,-0.47494290307092296,-0.42853577425972655,1744688275810
1.0401164443933164,0.8261996252580251,0.7493168531565779,0.7248355606789796,0.6021546029582765,-0.665317927181885,0.25851176632439715,-0.434383288729719,-0.6369215435869839,-0.5877933559024885,-0.297257709047958,-0.2901833909348631,1744688275830
0.8580808843099842,0.6859354066401112,0.6468733257558037,0.6065479392973007,0.5455498019170717,-0.7630863954738076,0.7263407999081148,-0.28011009985855084,-0.633251642732249,-0.5241679927515723,-0.08137633280381035,-0.1383872283474397,1744688275850
0.6104036726298543,0.47912901848256895,0.4832885663438069,0.4284655984940787,0.4374849099782405,-0.8617940568046994,1.1664749547399846,-0.1335037878495648,-0.6323625390511057,-0.4590736585409587,0.16600171881405887,0.00696380270613039,1744688275870
0.3243374398518672,0.2249241058168002,0.27113285956479416,0.20785810402780552,0.28566227519354775,-0.942628894813777,1.5274946277282446,-0.0037363794178508812,-0.6361882939749961,-0.38961914733293074,0.437961312262097,0.12656156572758023,1744688275890
0.037077826266826173,-0.044259032227086645,0.03639894114519709,-0.026396609430713622,0.10972988949301596,-0.9878330838193671,1.7770506176080634,0.11036747176988157,-0.6454031260041302,-0.3087071430528896,0.7272517927698403,0.20673548591881313,1744688275910
-0.21449574751010198,-0.2914610546675801,-0.1880999473086822,-0.24168019110215874,-0.06399331886898464,-0.9840004390588319,1.907987990841667,0.22031055276189376,-0.6582892907154766,-0.20669818813227464,1.0247209411430425,0.2430618070113366,1744688275930
-0.4028762565101929,-0.4845076937971381,-0.3709209437737179,-0.41000423547172177,-0.20934562181108732,-0.9248207196119095,1.9362800776380011,0.3436441579880133,-0.6699562183740599,-0.07486669986477701,1.3175032692535875,0.2414032643204455,1744688275950
-0.5146972421390498,-0.6026454747485733,-0.4889190778959351,-0.5137018164791721,-0.3061944893246018,-0.8125688796837404,1.8925765350505592,0.4971122166950532,-0.6723956226312996,0.09058007151057187,1.5885428176893746,0.21610873104970102,1744688275970
