timestamp,value1,value2,value3,value4,value5,value6
1744681019462,0,675,0,0,0,0,0
1744681019462,0,667,0,0,0,0,0
1744681019464,0,657,0,0,0,0,0
1744681019468,0,661,0,0,0,0,0
1744681019480,0,658,0,0,0,0,0
1744681019488,0,656,0,0,0,0,0
1744681019489,0,658,0,0,0,0,0
1744681019497,0,658,0,0,0,0,0
1744681019513,0,659,0,0,0,0,0
1744681019530,0,655,0,0,0,0,0
1744681019550,0,655,0,0,0,0,0
1744681019550,0,651,0,0,0,0,0
1744681019572,0,649,0,0,0,0,0
1744681019572,0,647,0,0,0,0,0
1744681019575,0,643,0,0,0,0,0
1744681019595,0,640,0,0,0,0,0
1744681019595,0,630,0,0,0,0,0
1744681019649,0,621,0,0,0,0,0
1744681019685,0,604,0,0,0,0,0
1744681019703,0,587,0,0,0,0,0
1744681019718,0,576,0,0,0,0,0
1744681019718,0,562,0,0,0,0,0
1744681019734,0,559,0,0,0,0,0
1744681019734,0,560,0,0,0,0,0
1744681019734,0,559,0,0,0,0,0
1744681019734,0,556,0,0,0,0,0
1744681019734,0,550,0,0,0,0,0
1744681019751,0,543,0,0,0,0,0
1744681019751,0,529,0,0,0,0,0
1744681019751,0,528,0,0,0,0,0
1744681019768,0,511,0,0,0,0,0
1744681019768,0,507,0,0,0,0,0
1744681019772,0,511,0,0,0,0,0
1744681019790,0,509,0,0,0,0,0
1744681019801,0,506,0,0,0,0,0
1744681019818,0,510,0,0,0,0,0
1744681019818,0,530,0,0,0,0,0
1744681019835,0,536,0,0,0,0,0
1744681019852,0,544,0,0,0,0,0
1744681019852,0,553,0,0,0,0,0
1744681019870,0,553,0,0,0,0,0
1744681019885,0,556,0,0,0,0,0
1744681019885,0,558,0,0,0,0,0
1744681019917,0,560,0,0,0,0,0
1744681019917,0,561,0,0,0,0,0
1744681019917,0,562,0,0,0,0,0
1744681019935,0,564,0,0,0,0,0
1744681019952,0,565,0,0,0,0,0
1744681019968,0,563,0,0,0,0,0
1744681019968,0,560,0,0,0,0,0
1744681019970,0,560,0,0,0,0,0
1744681020003,0,558,0,0,0,0,0
1744681020035,0,551,0,0,0,0,0
1744681020069,0,555,0,0,0,0,0
1744681020084,0,553,0,0,0,0,0
1744681020118,0,550,0,0,0,0,0
1744681020118,0,549,0,0,0,0,0
1744681020118,0,546,0,0,0,0,0
1744681020118,0,549,0,0,0,0,0
1744681020136,0,544,0,0,0,0,0
1744681020136,0,539,0,0,0,0,0
1744681020136,0,539,0,0,0,0,0
1744681020136,0,538,0,0,0,0,0
1744681020136,0,537,0,0,0,0,0
1744681020136,0,541,0,0,0,0,0
1744681020151,0,538,0,0,0,0,0
1744681020151,0,537,0,0,0,0,0
1744681020168,0,535,0,0,0,0,0
1744681020168,0,536,0,0,0,0,0
1744681020184,0,537,0,0,0,0,0
1744681020202,0,541,0,0,0,0,0
1744681020205,0,540,0,0,0,0,0
1744681020218,0,542,0,0,0,0,0
1744681020234,0,542,0,0,0,0,0
1744681020237,0,545,0,0,0,0,0
1744681020251,0,545,0,0,0,0,0
1744681020268,0,544,0,0,0,0,0
1744681020269,0,543,0,0,0,0,0
1744681020286,0,541,0,0,0,0,0
1744681020298,0,539,0,0,0,0,0
1744681020301,0,534,0,0,0,0,0
1744681020318,0,538,0,0,0,0,0
1744681020334,0,535,0,0,0,0,0
1744681020352,0,539,0,0,0,0,0
1744681020352,0,537,0,0,0,0,0
1744681020369,0,535,0,0,0,0,0
1744681020402,0,528,0,0,0,0,0
1744681020458,0,524,0,0,0,0,0
1744681020481,0,509,0,0,0,0,0
1744681020481,0,496,0,0,0,0,0
1744681020500,0,480,0,0,0,0,0
1744681020500,0,473,0,0,0,0,0
1744681020500,0,464,0,0,0,0,0
1744681020520,0,464,0,0,0,0,0
1744681020520,0,461,0,0,0,0,0
1744681020520,0,455,0,0,0,0,0
1744681020525,0,458,0,0,0,0,0
1744681020535,0,454,0,0,0,0,0
1744681020535,0,449,0,0,0,0,0
1744681020550,0,450,0,0,0,0,0
1744681020550,0,451,0,0,0,0,0
1744681020583,0,457,0,0,0,0,0
1744681020583,0,458,0,0,0,0,0
